,sid,doc_id,sent_idx,passive,active
0,GUM_academic_art-21,GUM_academic_art,20,"The direction of saccades is determined by an interaction between the goals of the observer and the physical properties of the different elements of the scene (e.g. colour, texture, brightness etc).","An interaction between the goals of the observer and the physical properties of the different elements of the scene (e.g. colour, texture, brightness etc) determines the direction of saccades."
1,GUM_academic_census-23,GUM_academic_census,22,"For example, differences in recruitment and retention strategies across departments will be washed out by averaging, thereby masking any insights into the efficacy of individual strategies and policies.","For example, averaging will wash differences in recruitment and retention strategies across departments out, thereby masking any insights into the efficacy of individual strategies and policies."
2,GUM_academic_economics-10,GUM_academic_economics,9,"In other words, it is critical that economic agents believe that their property rights will not be taken away by other public or private actors [15].","In other words, it is critical that economic agents believe that other public or private actors will not take their property rights away [15]."
3,GUM_academic_epistemic-7,GUM_academic_epistemic,6,We live in an epistemic environment that is heavily and deliberately polluted by agents who use mimicry and other methods as a means of inflating their pretense to expertise.,We live in an epistemic environment that agents who use mimicry and other methods as a means of inflating their pretense to expertise heavily and deliberately pollute.
4,GUM_academic_huh-3,GUM_academic_huh,2,"Thus, the sound of the word dog in English is connected to the concept ‘dog’ by historical accident and not by any natural connection; roughly the same concept is just as well denoted in French by chien, in German by hund, and in Japanese by inu.","Thus, historical accident and not any natural connection connects the sound of the word dog in English to the concept ‘dog’; roughly the same concept is just as well denoted in French by chien, denoted in German by hund, and denoted in Japanese by inu."
5,GUM_academic_huh-17,GUM_academic_huh,16,We observe that this item fulfils a crucial need shared by all languages – the efficient signalling of problems of hearing and understanding – and we propose that its form is constrained by selective pressures in a conversational environment that is essentially the same in all languages.,We observe that this item fulfils a crucial need shared by all languages – the efficient signalling of problems of hearing and understanding – and we propose that selective pressures in a conversational environment that is essentially the same in all languages constrain its form.
6,GUM_academic_huh-21,GUM_academic_huh,20,This is followed by a repetition of the original statement by G.,A repetition of the original statement by G follows this.
7,GUM_academic_huh-23,GUM_academic_huh,22,"repair is initiated not by the speaker of the first turn but by the other participant (“other-initiated”), and the repair initiator signals that there is a problem, but it leaves open what the problem is (“open”) [11].","Not the speaker of the first turn but the other participant (“other-initiated”) initiates repair, and the repair initiator signals that there is a problem, but it leaves open what the problem is (“open”) [11]."
8,GUM_academic_lighting-38,GUM_academic_lighting,37,"In response to the aforementioned situation where the three types of lights are compared by their efficiency and effectiveness as light sources, the proponents conducted this study.","In response to the aforementioned situation where their efficiency and effectiveness as light sources compares the three types of lights, the proponents conducted this study."
9,GUM_academic_mutation-11,GUM_academic_mutation,10,The different mutants are generated automatically by the application of mutation operators.,The application of mutation operators generates the different mutants automatically.
10,GUM_academic_mutation-33,GUM_academic_mutation,32,"A Geofence is determined by a geographical location expressed in terms of latitude, longitude, and a radius around that location.","A geographical location expressed in terms of latitude, longitude, and a radius around that location determines a Geofence."
11,GUM_academic_replication-3,GUM_academic_replication,2,Replication studies are considered by many to play a fundamental role in any scientific endeavor.,Many consider replication studies to play a fundamental role in any scientific endeavor.
12,GUM_academic_replication-22,GUM_academic_replication,21,The research questions and methods of the systematic review were largely determined by the narrative review but also emerged through the design and piloting of the coding instrument.,The narrative review largely determined the research questions and methods of the systematic review but also emerged through the design and piloting of the coding instrument.
