pair_id,source_domain,lexical_tier,analysis_set,salience_design,primary_analysis,norming_status,coherence_relation,active,passive
flv_001,arts_culture,common,core,balanced_shared_predicate,yes,not_normed,shared_preparation,"Before the portrait session, <PRE> and <CTL> reviewed several backdrop options for a set of new studio photographs. <AGT> carefully photographed <PNT> against a plain linen backdrop.","Before the portrait session, <PRE> and <CTL> reviewed several backdrop options for a set of new studio photographs. <PNT> was carefully photographed by <AGT> against a plain linen backdrop."
flv_002,arts_culture,common,salience_challenge,ctl_last_separate_predicates,no,not_normed,shared_preparation,"Before a drop-in portrait exercise, <PRE> selected one sheet of drawing paper, while <CTL> selected another sheet of drawing paper. <AGT> sketched <PNT> in charcoal.","Before a drop-in portrait exercise, <PRE> selected one sheet of drawing paper, while <CTL> selected another sheet of drawing paper. <PNT> was sketched by <AGT> in charcoal."
flv_003,arts_culture,common,core,balanced_shared_predicate,yes,not_normed,shared_goal,"With the final rehearsal approaching, <PRE> and <CTL> reviewed the production's documentation plan for material needed after opening night. <AGT> quietly filmed <PNT> during the final rehearsal.","With the final rehearsal approaching, <PRE> and <CTL> reviewed the production's documentation plan for material needed after opening night. <PNT> was quietly filmed by <AGT> during the final rehearsal."
flv_004,arts_culture,common,core,balanced_shared_predicate,yes,not_normed,shared_followup_need,<PRE> and <CTL> reviewed the gallery talk's unresolved questions before the room was cleared for scheduled follow-up conversations. <AGT> interviewed <PNT> after the gallery talk.,<PRE> and <CTL> reviewed the gallery talk's unresolved questions before the room was cleared for scheduled follow-up conversations. <PNT> was interviewed by <AGT> after the gallery talk.
flv_005,arts_culture,common,core,balanced_shared_predicate,yes,not_normed,shared_trigger,<PRE> and <CTL> checked the chamber recital's entry time after the venue announced that the doors would open shortly. <AGT> formally greeted <PNT> before the chamber recital.,<PRE> and <CTL> checked the chamber recital's entry time after the venue announced that the doors would open shortly. <PNT> was formally greeted by <AGT> before the chamber recital.
flv_006,arts_culture,common,core,balanced_shared_predicate,yes,not_normed,shared_occasion,<PRE> and <CTL> discussed the solo that would conclude the first half before the evening program began. <AGT> warmly applauded <PNT> after the solo.,<PRE> and <CTL> discussed the solo that would conclude the first half before the evening program began. <PNT> was warmly applauded by <AGT> after the solo.
flv_007,arts_culture,common,core,balanced_shared_predicate,yes,not_normed,shared_trigger,"After a poetry reading was added to the neighborhood calendar, <PRE> and <CTL> compared the date with their existing plans. <AGT> invited <PNT> to the poetry reading.","After a poetry reading was added to the neighborhood calendar, <PRE> and <CTL> compared the date with their existing plans. <PNT> was invited by <AGT> to the poetry reading."
flv_008,arts_culture,common,core,balanced_shared_predicate,yes,not_normed,shared_resource,<PRE> and <CTL> checked the sculpture garden opening schedule after the museum announced a temporary route through the outdoor collection. <AGT> accompanied <PNT> through the sculpture garden.,<PRE> and <CTL> checked the sculpture garden opening schedule after the museum announced a temporary route through the outdoor collection. <PNT> was accompanied by <AGT> through the sculpture garden.
flv_009,arts_culture,common,core,balanced_shared_predicate,yes,not_normed,shared_occasion,"While the screening room doors remained closed, <PRE> and <CTL> waited nearby for the audience line to begin moving. <AGT> cheerfully greeted <PNT> outside the screening room.","While the screening room doors remained closed, <PRE> and <CTL> waited nearby for the audience line to begin moving. <PNT> was cheerfully greeted by <AGT> outside the screening room."
flv_010,arts_culture,uncommon,core,balanced_shared_predicate,yes,not_normed,shared_preparation,<PRE> and <CTL> discussed the reception's planned musical finale before guests moved into the adjoining performance space. <AGT> gently serenaded <PNT> after the reception.,<PRE> and <CTL> discussed the reception's planned musical finale before guests moved into the adjoining performance space. <PNT> was gently serenaded by <AGT> after the reception.
